product_id,product_name,category,brand,price,cost,weight_kg,dimensions,in_stock,stock_quantity,supplier_id,launch_date
1,De-engineered client-driven concept Beauty,Beauty,GenericBrand,973.03,210.66,18.65,38x57x90,False,715,33,2025-01-27
2,Front-line radical Graphical User Interface Electronics,Electronics,GenericBrand,717.43,240.5,20.09,68x52x26,True,387,15,2023-02-04
3,Re-contextualized zero-defect hardware Automotive,Automotive,BrandB,636.0,35.04,38.51,33x25x12,True,525,37,2024-07-17
4,Public-key hybrid project Toys,Toys,BrandC,785.93,334.02,41.91,51x48x94,True,807,11,2023-07-18
5,Balanced homogeneous conglomeration Clothing,Clothing,GenericBrand,783.97,161.76,29.08,47x68x73,True,112,30,2023-10-11
6,Multi-tiered interactive extranet Beauty,Beauty,BrandE,165.39,53.08,3.19,41x49x27,True,801,10,2022-09-02
7,Organic discrete model Books,Books,BrandD,997.37,39.83,27.79,83x93x58,True,951,47,2022-08-22
8,Quality-focused fresh-thinking neural-net Automotive,Automotive,GenericBrand,183.42,76.12,22.64,64x77x86,False,120,47,2023-04-01
9,Synergized tangible parallelism Beauty,Beauty,GenericBrand,228.24,344.46,20.08,75x91x90,True,402,24,2024-12-01
10,Expanded coherent policy Electronics,Electronics,BrandE,733.92,443.86,4.62,79x44x80,False,658,23,2024-11-21
11,Proactive executive ability Home & Kitchen,Home & Kitchen,BrandD,278.62,114.36,37.45,68x30x6,True,395,23,2023-01-14
12,Persevering well-modulated initiative Toys,Toys,BrandD,733.86,421.26,23.65,73x90x61,False,302,16,2023-10-16
13,Streamlined next generation info-mediaries Beauty,Beauty,BrandE,155.41,465.65,23.3,89x34x63,True,46,4,2023-02-03
14,Enhanced mission-critical orchestration Toys,Toys,BrandA,262.04,386.32,7.92,87x100x62,True,916,47,2024-08-20
15,Horizontal mission-critical artificial intelligence Books,Books,GenericBrand,736.82,258.14,32.46,16x22x70,False,606,16,2024-10-17
16,Cross-platform solution-oriented moderator Books,Books,BrandE,743.19,205.1,46.32,81x30x28,True,806,11,2025-04-14
17,Vision-oriented content-based toolset Beauty,Beauty,BrandA,429.55,42.71,5.55,49x64x86,True,19,18,2023-03-03
18,Reverse-engineered radical pricing structure Sports,Sports,BrandD,426.75,103.21,16.94,71x52x66,False,447,9,2023-05-30
19,Upgradable disintermediate encryption Toys,Toys,GenericBrand,422.94,166.09,1.02,57x88x52,False,67,38,2022-09-26
20,Cross-group neutral leverage Toys,Toys,BrandC,457.85,430.9,7.73,21x34x66,False,878,26,2025-03-01
21,Extended demand-driven structure Home & Kitchen,Home & Kitchen,GenericBrand,553.24,76.78,19.08,67x27x38,True,533,29,2023-10-12
22,Exclusive mobile support Toys,Toys,BrandC,635.02,439.14,49.91,8x33x62,True,13,1,2023-08-27
23,Balanced executive encryption Beauty,Beauty,BrandD,707.98,248.96,37.73,74x6x66,True,899,20,2023-12-21
24,Universal bandwidth-monitored service-desk Clothing,Clothing,BrandA,333.39,66.94,28.53,36x89x28,False,285,42,2024-03-22
25,Multi-layered well-modulated circuit Toys,Toys,BrandD,85.18,94.73,34.63,60x19x96,True,991,38,2023-10-11
26,User-centric homogeneous synergy Home & Kitchen,Home & Kitchen,BrandE,631.03,369.42,47.16,83x83x97,True,519,26,2023-04-20
27,Cross-group systematic moderator Toys,Toys,BrandA,428.57,180.71,28.23,42x83x70,True,712,10,2023-09-11
28,Customizable web-enabled workforce Electronics,Electronics,BrandD,629.71,199.65,13.82,55x54x17,False,569,1,2024-02-18
29,Innovative coherent database Automotive,Automotive,BrandE,811.34,188.25,15.92,87x76x95,True,749,29,2025-06-12
30,Monitored encompassing knowledgebase Sports,Sports,BrandD,980.4,231.44,10.52,41x20x63,False,882,30,2024-05-27
31,Sharable mission-critical throughput Home & Kitchen,Home & Kitchen,BrandD,89.96,101.21,18.18,8x65x43,False,199,46,2024-03-18
32,User-friendly demand-driven extranet Beauty,Beauty,GenericBrand,538.61,108.17,33.33,96x44x11,True,971,31,2022-06-22
33,Innovative homogeneous methodology Toys,Toys,BrandD,294.84,95.89,31.83,43x7x43,True,429,25,2023-07-04
34,Profit-focused zero-defect policy Home & Kitchen,Home & Kitchen,BrandA,57.54,338.81,18.61,40x35x69,False,208,28,2024-09-09
35,Profound heuristic policy Books,Books,BrandC,148.36,289.19,12.04,18x94x92,True,239,28,2024-01-15
36,Enhanced hybrid framework Home & Kitchen,Home & Kitchen,BrandA,448.09,224.86,31.45,59x21x64,False,258,38,2022-10-04
37,Future-proofed disintermediate architecture Books,Books,BrandC,114.29,35.6,1.37,74x65x80,False,321,45,2024-05-07
38,Configurable asynchronous standardization Automotive,Automotive,BrandB,216.49,163.89,20.54,52x68x94,True,261,15,2022-11-10
39,Grass-roots didactic paradigm Toys,Toys,BrandE,918.4,67.88,36.35,67x36x94,True,288,13,2022-09-15
40,Realigned zero administration success Clothing,Clothing,BrandD,952.55,62.35,20.09,50x62x19,False,488,24,2023-03-31
41,Vision-oriented 24/7 framework Clothing,Clothing,BrandC,843.05,375.29,8.2,76x6x92,True,404,37,2025-01-06
42,Secured analyzing workforce Automotive,Automotive,BrandE,369.53,361.86,49.04,28x99x44,True,415,25,2022-10-12
43,Vision-oriented composite conglomeration Sports,Sports,BrandB,305.48,62.56,14.44,48x78x43,False,52,10,2023-10-31
44,Enhanced modular workforce Books,Books,BrandD,838.6,485.97,5.56,7x68x99,True,420,47,2024-01-27
45,Cloned asynchronous contingency Sports,Sports,BrandE,379.74,341.37,40.81,28x19x31,True,483,12,2024-08-02
46,Organic executive portal Automotive,Automotive,BrandC,821.34,374.03,10.31,86x25x31,False,400,17,2023-05-15
